timestamp,product,best_bid,best_ask,mid,spread,micro_price,best_bid_vol,best_ask_vol,best_bid_own,best_ask_own,total_bid_vol,total_ask_vol,total_own_bid_vol,total_own_ask_vol,bid_levels,ask_levels,imbalance,top_imbalance,weighted_mid,tick_size
1772293775.576743,TIDE_SWING,228.0,612.0,420.0,384.0,573.6,180.0,20.0,0.0,0.0,185.0,46.0,0.0,0.0,4,5,0.6017316017316018,0.8,596.063057413601,1
1772293776.1773422,TIDE_SWING,228.0,612.0,420.0,384.0,573.6,180.0,20.0,0.0,0.0,185.0,24.0,0.0,0.0,4,3,0.7703349282296651,0.8,741.8034420289855,1
1772293777.57684,TIDE_SWING,228.0,420.0,324.0,192.0,415.82608695652175,180.0,4.0,0.0,0.0,185.0,48.0,0.0,0.0,4,5,0.5879828326180258,0.9565217391304348,564.4457039337474,1
1772293777.778267,TIDE_SWING,226.0,420.0,323.0,194.0,309.14285714285717,3.0,4.0,0.0,0.0,4.0,28.0,0.0,0.0,2,4,-0.75,-0.14285714285714285,347.3679487179487,1
1772293779.1971405,TIDE_SWING,228.0,303.0,265.5,75.0,302.1758241758242,180.0,2.0,0.0,0.0,184.0,50.0,0.0,0.0,3,6,0.5726495726495726,0.978021978021978,387.6547340340818,1
1772293781.3822968,TIDE_SWING,228.0,419.0,323.5,191.0,399.9,180.0,20.0,0.0,0.0,184.0,48.0,0.0,0.0,3,5,0.5862068965517241,0.8,434.36242634177415,1
1772293781.5816078,TIDE_SWING,228.0,296.0,262.0,68.0,295.25274725274727,180.0,2.0,0.0,0.0,184.0,50.0,0.0,0.0,3,6,0.5726495726495726,0.978021978021978,387.18293916228697,1
1772293781.9827363,TIDE_SWING,228.0,257.0,242.5,29.0,256.83977900552486,180.0,1.0,0.0,0.0,184.0,51.0,0.0,0.0,3,7,0.5659574468085107,0.988950276243094,381.9969806763285,1
1772293782.3829002,TIDE_SWING,230.0,257.0,243.5,27.0,250.25,3.0,1.0,0.0,0.0,187.0,51.0,0.0,0.0,4,7,0.5714285714285714,0.5,382.19388391928436,1
1772293782.5854428,TIDE_SWING,230.0,257.0,243.5,27.0,250.25,3.0,1.0,0.0,0.0,188.0,48.0,0.0,0.0,5,7,0.5932203389830508,0.5,278.66052631578947,1
1772293784.0010526,TIDE_SWING,230.0,243.0,236.5,13.0,237.8,3.0,2.0,0.0,0.0,188.0,52.0,0.0,0.0,5,9,0.5666666666666667,0.2,245.72356020942408,1
1772293786.6069596,TIDE_SWING,226.0,230.0,228.0,4.0,227.2,3.0,7.0,0.0,0.0,5.0,17.0,0.0,0.0,3,7,-0.5454545454545454,-0.4,225.6215909090909,1
1772293787.1882045,TIDE_SWING,226.0,230.0,228.0,4.0,227.2,3.0,7.0,0.0,0.0,5.0,19.0,0.0,0.0,3,8,-0.5833333333333334,-0.4,225.6215909090909,1
1772293787.7890913,TIDE_SWING,226.0,230.0,228.0,4.0,227.2,3.0,7.0,0.0,0.0,5.0,21.0,0.0,0.0,3,9,-0.6153846153846154,-0.4,225.6215909090909,1
1772293787.9888098,TIDE_SWING,243.0,244.0,243.5,1.0,243.5,2.0,2.0,0.0,0.0,14.0,32.0,0.0,0.0,5,8,-0.391304347826087,0.0,248.10416666666666,1
1772293788.1890154,TIDE_SWING,243.0,257.0,250.0,14.0,252.33333333333334,2.0,1.0,0.0,0.0,14.0,30.0,0.0,0.0,5,7,-0.36363636363636365,0.3333333333333333,264.9791666666667,1
1772293789.5909655,TIDE_SWING,243.0,250.0,246.5,7.0,246.5,2.0,2.0,0.0,0.0,183.0,52.0,0.0,0.0,6,9,0.5574468085106383,0.0,262.4115864254691,1
1772293791.2103198,TIDE_SWING,230.0,250.0,240.0,20.0,245.55555555555554,7.0,2.0,0.0,0.0,183.0,59.0,0.0,0.0,6,11,0.512396694214876,0.5555555555555556,251.15447534612585,1
1772293792.594857,TIDE_SWING,230.0,244.0,237.0,14.0,240.88888888888889,7.0,2.0,0.0,0.0,183.0,56.0,0.0,0.0,6,11,0.5313807531380753,0.5555555555555556,247.67532336806082,1
1772293793.9959931,TIDE_SWING,230.0,251.0,240.5,21.0,248.375,7.0,1.0,0.0,0.0,183.0,51.0,0.0,0.0,6,9,0.5641025641025641,0.75,263.30294692105747,1
1772293795.5987701,TIDE_SWING,226.0,231.0,228.5,5.0,229.0,3.0,2.0,0.0,0.0,7.0,37.0,0.0,0.0,4,9,-0.6818181818181818,0.2,237.81666666666666,1
1772293796.999407,TIDE_SWING,226.0,231.0,228.5,5.0,229.0,3.0,2.0,0.0,0.0,5.0,37.0,0.0,0.0,3,9,-0.7619047619047619,0.2,235.7611111111111,1
1772293797.2014601,TIDE_SWING,255.0,289.0,272.0,34.0,272.0,2.0,2.0,0.0,0.0,180.0,33.0,0.0,0.0,5,6,0.6901408450704225,0.0,459.7279142779143,1
1772293798.4206984,TIDE_SWING,239.0,244.0,241.5,5.0,241.5,2.0,2.0,0.0,0.0,180.0,35.0,0.0,0.0,5,7,0.6744186046511628,0.0,306.02482170973417,1
1772293798.6015236,TIDE_SWING,239.0,244.0,241.5,5.0,241.5,2.0,2.0,0.0,0.0,180.0,30.0,0.0,0.0,5,6,0.7142857142857143,0.0,306.02482170973417,1
1772293799.603964,TIDE_SWING,239.0,244.0,241.5,5.0,241.5,2.0,2.0,0.0,0.0,180.0,54.0,0.0,0.0,5,7,0.5384615384615384,0.0,263.10398433040024,1
1772293802.4266026,TIDE_SWING,239.0,244.0,241.5,5.0,241.5,2.0,2.0,0.0,0.0,184.0,56.0,0.0,0.0,7,9,0.5333333333333333,0.0,261.5998486023411,1
1772293803.811498,TIDE_SWING,229.0,257.0,243.0,28.0,243.0,1.0,1.0,0.0,0.0,178.0,39.0,0.0,0.0,5,8,0.6405529953917051,0.0,263.35049418403383,1
1772293805.4292002,TIDE_SWING,239.0,257.0,248.0,18.0,251.0,2.0,1.0,0.0,0.0,8.0,32.0,0.0,0.0,5,8,-0.6,0.3333333333333333,249.08333333333334,1
1772293806.411149,TIDE_SWING,241.0,257.0,249.0,16.0,256.906432748538,170.0,1.0,0.0,0.0,178.0,58.0,0.0,0.0,6,8,0.5084745762711864,0.9883040935672515,263.85564854321365,1
1772293807.83554,TIDE_SWING,241.0,247.0,244.0,6.0,246.93023255813952,170.0,2.0,0.0,0.0,178.0,58.0,0.0,0.0,6,8,0.5084745762711864,0.9767441860465116,253.43785152951872,1
1772293808.6144807,TIDE_SWING,241.0,247.0,244.0,6.0,246.92592592592592,160.0,2.0,0.0,0.0,168.0,58.0,0.0,0.0,6,8,0.48672566371681414,0.9753086419753086,253.41612620508326,1
1772293809.4364445,TIDE_SWING,241.0,247.0,244.0,6.0,246.92592592592592,160.0,2.0,0.0,0.0,168.0,63.0,0.0,0.0,6,10,0.45454545454545453,0.9753086419753086,253.41612620508326,1
1772293810.6165843,TIDE_SWING,241.0,247.0,244.0,6.0,246.92592592592592,160.0,2.0,0.0,0.0,166.0,61.0,0.0,0.0,5,9,0.46255506607929514,0.9753086419753086,254.57551594746715,1
1772293811.0171862,TIDE_SWING,241.0,245.0,243.0,4.0,244.9506172839506,160.0,2.0,0.0,0.0,166.0,62.0,0.0,0.0,5,9,0.45614035087719296,0.9753086419753086,247.97669937941978,1
1772293811.8172543,TIDE_SWING,241.0,245.0,243.0,4.0,244.9506172839506,160.0,2.0,0.0,0.0,168.0,62.0,0.0,0.0,6,9,0.4608695652173913,0.9753086419753086,247.98315804849548,1
1772293812.7390423,TIDE_SWING,240.0,245.0,242.5,5.0,242.5,4.0,4.0,0.0,0.0,10.0,36.0,0.0,0.0,5,8,-0.5652173913043478,0.0,240.7940476190476,1
1772293813.8205705,TIDE_SWING,255.0,257.0,256.0,2.0,256.6,4.0,1.0,0.0,0.0,16.0,30.0,0.0,0.0,7,6,-0.30434782608695654,0.6,258.5041666666667,1
1772293815.2220497,TIDE_SWING,255.0,257.0,256.0,2.0,256.6,4.0,1.0,0.0,0.0,164.0,72.0,0.0,0.0,8,8,0.3898305084745763,0.6,256.90430912494423,1
1772293816.6277509,TIDE_SWING,255.0,257.0,256.0,2.0,256.6,4.0,1.0,0.0,0.0,160.0,72.0,0.0,0.0,7,8,0.3793103448275862,0.6,256.90430912494423,1
1772293816.825467,TIDE_SWING,255.0,261.0,258.0,6.0,255.54545454545453,4.0,40.0,0.0,0.0,158.0,70.0,0.0,0.0,5,7,0.38596491228070173,-0.8181818181818182,257.008658008658,1
1772293818.2433603,TIDE_SWING,255.0,257.0,256.0,2.0,256.0,4.0,4.0,0.0,0.0,162.0,74.0,0.0,0.0,6,8,0.3728813559322034,0.0,253.71708074534158,1
1772293819.4283557,TIDE_SWING,255.0,256.0,255.5,1.0,255.8,4.0,1.0,0.0,0.0,166.0,58.0,0.0,0.0,8,9,0.48214285714285715,0.6,253.71515151515152,1
1772293820.4491181,TIDE_SWING,252.0,256.0,254.0,4.0,255.2,4.0,1.0,0.0,0.0,12.0,38.0,0.0,0.0,5,9,-0.52,0.6,249.64453781512603,1
1772293821.6301396,TIDE_SWING,252.0,256.0,254.0,4.0,255.2,4.0,1.0,0.0,0.0,166.0,84.0,0.0,0.0,6,10,0.328,0.6,253.58685828720328,1
1772293822.847705,TIDE_SWING,231.0,256.0,243.5,25.0,255.83870967741936,154.0,1.0,0.0,0.0,162.0,62.0,0.0,0.0,5,9,0.44642857142857145,0.9870967741935484,253.73263048042185,1
1772293823.834252,TIDE_SWING,239.0,256.0,247.5,17.0,250.33333333333334,2.0,1.0,0.0,0.0,164.0,84.0,0.0,0.0,6,11,0.3225806451612903,0.3333333333333333,256.7909418622488,1
1772293825.0395792,TIDE_SWING,231.0,239.0,235.0,8.0,238.60493827160494,154.0,8.0,0.0,0.0,162.0,94.0,0.0,0.0,5,13,0.265625,0.9012345679012346,242.9851774322169,1
1772293826.2358131,TIDE_SWING,231.0,256.0,243.5,25.0,255.83870967741936,154.0,1.0,0.0,0.0,162.0,86.0,0.0,0.0,5,12,0.3064516129032258,0.9870967741935484,256.7899621212121,1
1772293827.4573333,TIDE_SWING,229.0,256.0,242.5,27.0,249.25,3.0,1.0,0.0,0.0,8.0,40.0,0.0,0.0,4,11,-0.6666666666666666,0.5,244.37380952380954,1
1772293829.1303866,TIDE_SWING,229.0,256.0,242.5,27.0,249.25,3.0,1.0,0.0,0.0,8.0,38.0,0.0,0.0,4,10,-0.6521739130434783,0.5,245.0738095238095,1
1772293829.1481771,TIDE_SWING,231.0,256.0,243.5,25.0,255.83870967741936,154.0,1.0,0.0,0.0,162.0,84.0,0.0,0.0,5,11,0.3170731707317073,0.9870967741935484,253.73263048042185,1
1772293829.8566809,TIDE_SWING,239.0,243.0,241.0,4.0,241.0,2.0,2.0,0.0,0.0,166.0,90.0,0.0,0.0,7,14,0.296875,0.0,243.85247504373783,1
1772293832.8640232,TIDE_SWING,239.0,246.0,242.5,7.0,241.8,2.0,3.0,0.0,0.0,162.0,85.0,0.0,0.0,5,11,0.3117408906882591,-0.2,252.94013141565753,1
1772293834.4627817,TIDE_SWING,241.0,246.0,243.5,5.0,243.0,2.0,3.0,0.0,0.0,6.0,46.0,0.0,0.0,3,12,-0.7692307692307693,-0.2,240.3168498168498,1
1772293835.8646502,TIDE_SWING,243.0,244.0,243.5,1.0,243.98717948717947,154.0,2.0,0.0,0.0,166.0,50.0,0.0,0.0,7,14,0.5370370370370371,0.9743589743589743,246.84763815992588,1
