timestamp,product,best_bid,best_ask,mid,spread,micro_price,best_bid_vol,best_ask_vol,best_bid_own,best_ask_own,total_bid_vol,total_ask_vol,total_own_bid_vol,total_own_ask_vol,bid_levels,ask_levels,imbalance,top_imbalance,weighted_mid,tick_size
1772293776.1954315,WX_SPOT,4423.0,4433.0,4428.0,10.0,4423.341463414634,7.0,198.0,0.0,0.0,76.0,249.0,0.0,0.0,8,6,-0.5323076923076923,-0.9317073170731708,4421.322943722944,1
1772293776.5817974,WX_SPOT,4424.0,4433.0,4428.5,9.0,4424.09,2.0,198.0,0.0,0.0,78.0,249.0,0.0,0.0,9,6,-0.5229357798165137,-0.98,4421.929004329004,1
1772293777.3963554,WX_SPOT,4424.0,4433.0,4428.5,9.0,4424.089108910891,2.0,200.0,0.0,0.0,78.0,247.0,0.0,0.0,9,6,-0.52,-0.9801980198019802,4421.919289782477,1
1772293777.5964096,WX_SPOT,4424.0,4433.0,4428.5,9.0,4424.044776119403,1.0,200.0,0.0,0.0,71.0,230.0,0.0,0.0,8,5,-0.5282392026578073,-0.9900497512437811,4422.371997220568,1
1772293777.7787027,WX_SPOT,4424.0,4433.0,4428.5,9.0,4427.0,1.0,2.0,0.0,0.0,60.0,16.0,0.0,0.0,6,4,0.5789473684210527,-0.3333333333333333,3891.4862745098035,1
1772293779.1973555,WX_SPOT,4424.0,4433.0,4428.5,9.0,4428.153846153846,6.0,7.0,0.0,0.0,67.0,14.0,0.0,0.0,7,3,0.654320987654321,-0.07692307692307693,4183.908424908425,1
1772293780.398769,WX_SPOT,4424.0,4425.0,4424.5,1.0,4424.428571428572,6.0,8.0,0.0,0.0,67.0,220.0,0.0,0.0,7,4,-0.5331010452961672,-0.14285714285714285,3991.3068469760606,1
1772293781.9829543,WX_SPOT,4424.0,4425.0,4424.5,1.0,4424.428571428572,6.0,8.0,0.0,0.0,67.0,228.0,0.0,0.0,7,5,-0.5457627118644067,-0.14285714285714285,3990.6577334136027,1
1772293782.585632,WX_SPOT,4424.0,4425.0,4424.5,1.0,4424.428571428572,6.0,8.0,0.0,0.0,47.0,228.0,0.0,0.0,6,5,-0.6581818181818182,-0.14285714285714285,3990.6577334136027,1
1772293784.0014403,WX_SPOT,4424.0,4425.0,4424.5,1.0,4424.428571428572,6.0,8.0,0.0,0.0,70.0,235.0,0.0,0.0,9,6,-0.5409836065573771,-0.14285714285714285,4421.236207838765,1
1772293785.4025774,WX_SPOT,4417.0,4423.0,4420.0,6.0,4420.0,2.0,2.0,0.0,0.0,64.0,229.0,0.0,0.0,8,6,-0.5631399317406144,0.0,4061.238266384778,1
1772293786.607324,WX_SPOT,4417.0,4423.0,4420.0,6.0,4420.0,2.0,2.0,0.0,0.0,57.0,31.0,0.0,0.0,6,6,0.29545454545454547,0.0,4052.1666666666665,1
1772293788.1894808,WX_SPOT,4417.0,4427.0,4422.0,10.0,4419.857142857143,2.0,5.0,0.0,0.0,57.0,26.0,0.0,0.0,6,5,0.37349397590361444,-0.42857142857142855,4052.9044117647063,1
1772293789.5913343,WX_SPOT,4418.0,4423.0,4420.5,5.0,4419.0,2.0,8.0,0.0,0.0,59.0,34.0,0.0,0.0,7,6,0.26881720430107525,-0.6,4418.49,1
1772293791.2106996,WX_SPOT,4418.0,4423.0,4420.5,5.0,4419.0,2.0,8.0,0.0,0.0,59.0,230.0,0.0,0.0,7,6,-0.5916955017301038,-0.6,4416.181284565108,1
