timestamp,product,best_bid,best_ask,mid,spread,micro_price,best_bid_vol,best_ask_vol,best_bid_own,best_ask_own,total_bid_vol,total_ask_vol,total_own_bid_vol,total_own_ask_vol,bid_levels,ask_levels,imbalance,top_imbalance,weighted_mid,tick_size
1772293775.776402,LON_ETF,10115.0,10158.0,10136.5,43.0,10143.666666666666,2.0,1.0,0.0,0.0,62.0,209.0,0.0,0.0,11,5,-0.5424354243542435,0.3333333333333333,8689.676912258416,1
1772293776.1956515,LON_ETF,10158.0,10246.0,10202.0,88.0,10161.78947368421,9.0,200.0,0.0,0.0,67.0,208.0,0.0,0.0,12,4,-0.5127272727272727,-0.9138755980861244,10152.613427304612,1
1772293777.3964734,LON_ETF,10115.0,10246.0,10180.5,131.0,10116.29702970297,2.0,200.0,0.0,0.0,58.0,208.0,0.0,0.0,11,4,-0.5639097744360902,-0.9801980198019802,10105.966967740458,1
1772293777.5966203,LON_ETF,10158.0,10246.0,10202.0,88.0,10158.437810945274,1.0,200.0,0.0,0.0,62.0,200.0,0.0,0.0,11,1,-0.5267175572519084,-0.9900497512437811,8696.721153846154,1
1772293777.778811,LON_ETF,10158.0,,,,,1.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10,0,1.0,1.0,,1
1772293778.979269,LON_ETF,10159.0,,,,,2.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,11,0,1.0,1.0,,1
1772293779.1974344,LON_ETF,10159.0,10245.0,10202.0,86.0,10202.0,2.0,2.0,0.0,0.0,62.0,2.0,0.0,0.0,11,1,0.9375,0.0,9925.15,1
1772293781.7890465,LON_ETF,10159.0,10245.0,10202.0,86.0,10202.0,2.0,2.0,0.0,0.0,61.0,2.0,0.0,0.0,10,1,0.9365079365079365,0.0,9782.02097902098,1
1772293781.9846323,LON_ETF,10192.0,10245.0,10218.5,53.0,10237.42857142857,12.0,2.0,0.0,0.0,73.0,2.0,0.0,0.0,11,1,0.9466666666666667,0.7142857142857143,10178.117794486216,1
1772293782.602358,LON_ETF,10192.0,10195.0,10193.5,3.0,10193.5,12.0,12.0,0.0,0.0,73.0,214.0,0.0,0.0,11,3,-0.4912891986062718,0.0,9599.850515844784,1
1772293786.6074026,LON_ETF,10192.0,10195.0,10193.5,3.0,10193.5,12.0,12.0,0.0,0.0,73.0,14.0,0.0,0.0,11,2,0.6781609195402298,0.0,9922.394850763272,1
1772293787.9901016,LON_ETF,10192.0,10195.0,10193.5,3.0,10193.5,12.0,12.0,0.0,0.0,78.0,14.0,0.0,0.0,12,2,0.6956521739130435,0.0,9922.394850763272,1
1772293789.1905558,LON_ETF,10192.0,10194.0,10193.0,2.0,10193.0,12.0,12.0,0.0,0.0,78.0,26.0,0.0,0.0,12,3,0.5,0.0,9819.565901934324,1
1772293789.392752,LON_ETF,10192.0,10194.0,10193.0,2.0,10193.0,12.0,12.0,0.0,0.0,73.0,26.0,0.0,0.0,11,3,0.47474747474747475,0.0,9652.466486729643,1
1772293789.5914679,LON_ETF,10191.0,10194.0,10192.5,3.0,10193.0,24.0,12.0,0.0,0.0,80.0,26.0,0.0,0.0,10,3,0.5094339622641509,0.3333333333333333,9881.656043956044,1
1772293790.9925702,LON_ETF,10191.0,10194.0,10192.5,3.0,10192.5,24.0,24.0,0.0,0.0,80.0,38.0,0.0,0.0,10,3,0.3559322033898305,0.0,9816.552941176473,1
1772293791.2108328,LON_ETF,10191.0,10194.0,10192.5,3.0,10192.5,24.0,24.0,0.0,0.0,87.0,45.0,0.0,0.0,12,5,0.3181818181818182,0.0,10189.967532467532,1
1772293792.5983818,LON_ETF,10191.0,10194.0,10192.5,3.0,10192.5,24.0,24.0,0.0,0.0,87.0,245.0,0.0,0.0,12,6,-0.4759036144578313,0.0,10190.17259153276,1
1772293792.7946427,LON_ETF,10191.0,10194.0,10192.5,3.0,10192.5,24.0,24.0,0.0,0.0,87.0,245.0,0.0,0.0,12,6,-0.4759036144578313,0.0,10190.210341917968,1
1772293793.795439,LON_ETF,10191.0,10194.0,10192.5,3.0,10193.76923076923,24.0,2.0,0.0,0.0,87.0,223.0,0.0,0.0,12,6,-0.43870967741935485,0.8461538461538461,10191.202258658928,1
1772293794.014468,LON_ETF,10191.0,10194.0,10192.5,3.0,10193.76923076923,24.0,2.0,0.0,0.0,86.0,224.0,0.0,0.0,13,7,-0.44516129032258067,0.8461538461538461,10192.562221423437,1
