timestamp,product,best_bid,best_ask,mid,spread,micro_price,best_bid_vol,best_ask_vol,best_bid_own,best_ask_own,total_bid_vol,total_ask_vol,total_own_bid_vol,total_own_ask_vol,bid_levels,ask_levels,imbalance,top_imbalance,weighted_mid,tick_size
1772293775.776222,WX_SUM,3347.0,3352.0,3349.5,5.0,3347.112359550562,2.0,87.0,0.0,0.0,169.0,120.0,0.0,0.0,9,7,0.1695501730103806,-0.9550561797752809,3348.1568268087253,1
1772293776.1945932,WX_SUM,3343.0,3352.0,3347.5,9.0,3348.085,113.0,87.0,0.0,0.0,180.0,140.0,0.0,0.0,8,8,0.125,0.13,3348.047093602077,1
1772293777.3786407,WX_SUM,3346.0,3351.0,3348.5,5.0,3348.5,2.0,2.0,0.0,0.0,182.0,140.0,0.0,0.0,9,9,0.13043478260869565,0.0,3348.0808353790717,1
1772293777.5770907,WX_SUM,3346.0,3351.0,3348.5,5.0,3348.5,4.0,4.0,0.0,0.0,176.0,127.0,0.0,0.0,7,6,0.1617161716171617,0.0,3348.0747233274974,1
1772293777.7783902,WX_SUM,3346.0,3351.0,3348.5,5.0,3348.5,4.0,4.0,0.0,0.0,63.0,28.0,0.0,0.0,6,4,0.38461538461538464,0.0,3351.774667774086,1
1772293780.18162,WX_SUM,3346.0,3349.0,3347.5,3.0,3348.0,4.0,2.0,0.0,0.0,63.0,30.0,0.0,0.0,6,5,0.3548387096774194,0.3333333333333333,3348.5276334776336,1
1772293780.3985422,WX_SUM,3346.0,3349.0,3347.5,3.0,3348.0,4.0,2.0,0.0,0.0,178.0,117.0,0.0,0.0,8,6,0.20677966101694914,0.3333333333333333,3350.3635319008918,1
1772293781.7887702,WX_SUM,3350.0,3362.0,3356.0,12.0,3350.4044943820227,3.0,86.0,0.0,0.0,179.0,110.0,0.0,0.0,9,4,0.23875432525951557,-0.9325842696629213,3347.6936507936507,1
1772293782.58552,WX_SUM,3350.0,3354.0,3352.0,4.0,3350.6666666666665,1.0,5.0,0.0,0.0,157.0,95.0,0.0,0.0,7,4,0.24603174603174602,-0.6666666666666666,3350.3953980091037,1
1772293784.0012722,WX_SUM,3344.0,3349.0,3346.5,5.0,3347.3333333333335,2.0,1.0,0.0,0.0,178.0,116.0,0.0,0.0,8,7,0.2108843537414966,0.3333333333333333,3354.262801120448,1
1772293784.5848832,WX_SUM,3344.0,3349.0,3346.5,5.0,3346.0,2.0,3.0,0.0,0.0,178.0,118.0,0.0,0.0,8,7,0.20270270270270271,-0.2,3352.535937603388,1
1772293785.3864589,WX_SUM,3344.0,3349.0,3346.5,5.0,3346.0,2.0,3.0,0.0,0.0,174.0,118.0,0.0,0.0,8,8,0.1917808219178082,-0.2,3353.9631185807652,1
1772293785.7871516,WX_SUM,3344.0,3349.0,3346.5,5.0,3346.0,2.0,3.0,0.0,0.0,177.0,118.0,0.0,0.0,9,8,0.2,-0.2,3348.777777777778,1
1772293786.6071236,WX_SUM,3344.0,3349.0,3346.5,5.0,3346.0,2.0,3.0,0.0,0.0,64.0,32.0,0.0,0.0,8,7,0.3333333333333333,-0.2,3348.777777777778,1
1772293788.1891751,WX_SUM,3345.0,3349.0,3347.0,4.0,3346.6,2.0,3.0,0.0,0.0,64.0,34.0,0.0,0.0,8,8,0.30612244897959184,-0.2,3347.589285714286,1
1772293789.1904616,WX_SUM,3345.0,3349.0,3347.0,4.0,3346.6,2.0,3.0,0.0,0.0,64.0,32.0,0.0,0.0,8,7,0.3333333333333333,-0.2,3347.589285714286,1
1772293789.3924415,WX_SUM,3345.0,3349.0,3347.0,4.0,3347.0,2.0,2.0,0.0,0.0,64.0,31.0,0.0,0.0,8,7,0.3473684210526316,0.0,3348.4,1
1772293790.7916083,WX_SUM,3349.0,3352.0,3350.5,3.0,3351.4,8.0,2.0,0.0,0.0,72.0,29.0,0.0,0.0,9,6,0.42574257425742573,0.6,3354.6190476190477,1
1772293791.2105334,WX_SUM,3346.0,3351.0,3348.5,5.0,3348.5,4.0,4.0,0.0,0.0,162.0,104.0,0.0,0.0,9,8,0.21804511278195488,0.0,3351.302324309543,1
1772293792.3938894,WX_SUM,3346.0,3351.0,3348.5,5.0,3348.5,4.0,4.0,0.0,0.0,160.0,104.0,0.0,0.0,9,8,0.21212121212121213,0.0,3351.302324309543,1
1772293792.595028,WX_SUM,3346.0,3351.0,3348.5,5.0,3349.0,6.0,4.0,0.0,0.0,182.0,121.0,0.0,0.0,10,9,0.20132013201320131,0.2,3351.22263556116,1
1772293795.59887,WX_SUM,3346.0,3352.0,3349.0,6.0,3350.0,4.0,2.0,0.0,0.0,66.0,31.0,0.0,0.0,9,7,0.36082474226804123,0.3333333333333333,3350.4166666666665,1
1772293795.7986827,WX_SUM,3346.0,3352.0,3349.0,6.0,3350.0,4.0,2.0,0.0,0.0,68.0,31.0,0.0,0.0,9,7,0.37373737373737376,0.3333333333333333,3350.7416666666663,1
1772293796.9995468,WX_SUM,3346.0,3349.0,3347.5,3.0,3347.5,2.0,2.0,0.0,0.0,64.0,33.0,0.0,0.0,9,8,0.31958762886597936,0.0,3347.8333333333335,1
1772293797.2015762,WX_SUM,3346.0,3349.0,3347.5,3.0,3348.0,4.0,2.0,0.0,0.0,47.0,12.0,0.0,0.0,8,6,0.5932203389830508,0.3333333333333333,3348.130952380952,1
1772293797.4004169,WX_SUM,3346.0,3348.0,3347.0,2.0,3347.3333333333335,4.0,2.0,0.0,0.0,47.0,14.0,0.0,0.0,8,7,0.5409836065573771,0.3333333333333333,3347.369047619048,1
1772293798.4208736,WX_SUM,3346.0,3348.0,3347.0,2.0,3347.5,6.0,2.0,0.0,0.0,66.0,16.0,0.0,0.0,8,7,0.6097560975609756,0.5,3347.6388888888887,1
1772293798.601648,WX_SUM,3346.0,3348.0,3347.0,2.0,3347.5,6.0,2.0,0.0,0.0,66.0,36.0,0.0,0.0,8,8,0.29411764705882354,0.5,3347.6388888888887,1
1772293799.6041155,WX_SUM,3346.0,3348.0,3347.0,2.0,3347.2,6.0,4.0,0.0,0.0,182.0,38.0,0.0,0.0,9,8,0.6545454545454545,0.2,3348.928812717337,1
1772293800.8061917,WX_SUM,3346.0,3348.0,3347.0,2.0,3346.4,1.0,4.0,0.0,0.0,179.0,124.0,0.0,0.0,9,8,0.18151815181518152,-0.6,3348.900773941719,1
1772293801.0041935,WX_SUM,3346.0,3348.0,3347.0,2.0,3346.285714285714,1.0,6.0,0.0,0.0,179.0,126.0,0.0,0.0,9,8,0.1737704918032787,-0.7142857142857143,3348.5985887497513,1
